"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,9.2,percent,6.6,11.8,1493,,1074,1912,No,2017-2021,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,7.0,percent,4.5,9.5,1084,,698,1470,No,2016-2020,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,10.9,percent,7.4,14.4,1626,,1107,2145,No,2015-2019,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,10.1,percent,7.3,12.9,,,,,No,2014-2018,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,8.6,percent,6.5,10.7,,,,,No,2013-2017,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,8.5,percent,6.2,10.8,,,,,No,2012-2016,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,10.0,percent,6.8,13.2,,,,,No,2011-2015,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,12.8,percent,9.3,16.3,,,,,No,2010-2014,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,13.0,percent,9.0,17.0,,,,,No,2009-2013,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
"People Living Below Poverty Level","This indicator shows the percentage of people living below the federal poverty level.
 

Numerator = Total estimate of persons who had income in the past 12 months that was below the poverty level
Denominator = Total population estimate with poverty status determined
","Zip Code",75001,14.9,percent,11.0,18.8,,,,,No,2008-2012,"American Community Survey 5-Year","The U.S. Census Bureau calculates 90% confidence intervals for American Community Survey estimates. Use caution when interpreting values with wide confidence intervals. Confidence intervals that are farther away from estimates in either direction indicate uncertainty due to small survey sample sizes. 
The U.S. Census Bureau does not recommend comparing overlapping 5-year periods since much of the data in each estimate are the same. Use caution when comparing estimates for census tracts over time as these geographies are redefined with each decennial census according to population changes.",,,,,,,,,,,,,
